npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  8/15/2026 11:47:08 AM ::1 GET /
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 264 ms
 HTTP  8/15/2026 11:47:08 AM ::1 GET /logo.png
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/css/862f566055b115d7.css
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 4 ms
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 4 ms
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/chunks/webpack-90f10984f768153b.js
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/chunks/a5e77c88-05bbcf6a40d5e8b9.js
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 4 ms
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 5 ms
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/chunks/152-72a1e100ab7100a1.js
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/chunks/main-app-6a1eec9c3997e59f.js
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/chunks/app/layout-b92bbc6315c3ffa1.js
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/chunks/22fd41b6-238cc2648186bedd.js
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/chunks/ec60cee0-e285e2d7c4156ca4.js
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/chunks/3eb478af-1f04f12a46c75c12.js
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 6 ms
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 7 ms
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 6 ms
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/chunks/6ea8a349-fdd09f46f83e7389.js
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 10 ms
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 14 ms
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 12 ms
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/chunks/903-2151b7c0b6be3c22.js
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 7 ms
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/chunks/788-f4eddcd5dfacf431.js
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 5 ms
 HTTP  8/15/2026 11:47:08 AM ::1 GET /_next/static/chunks/app/page-4acca4d1b6e59c9e.js
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 16 ms
 HTTP  8/15/2026 11:47:08 AM ::1 Returned 200 in 29 ms
 HTTP  8/15/2026 11:47:09 AM ::1 GET /_vercel/insights/script.js
 HTTP  8/15/2026 11:47:09 AM ::1 Returned 404 in 17 ms
 HTTP  8/15/2026 11:47:09 AM ::1 GET /video-thumbnail.jpg
 HTTP  8/15/2026 11:47:09 AM ::1 Returned 404 in 2 ms
 HTTP  8/15/2026 11:47:09 AM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  8/15/2026 11:47:09 AM ::1 Returned 206 in 112 ms
 HTTP  8/15/2026 11:47:09 AM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  8/15/2026 11:47:09 AM ::1 Returned 206 in 2 ms
 HTTP  8/15/2026 11:47:09 AM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  8/15/2026 11:47:09 AM ::1 Returned 206 in 1 ms
 HTTP  8/15/2026 11:47:10 AM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  8/15/2026 11:47:10 AM ::1 Returned 206 in 1 ms
 HTTP  8/15/2026 11:47:10 AM ::1 GET /VID_20260804_011114_027_bsl.mp4
 HTTP  8/15/2026 11:47:10 AM ::1 Returned 206 in 2 ms
 HTTP  8/15/2026 11:47:11 AM ::1 GET /
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/css/862f566055b115d7.css
 HTTP  8/15/2026 11:47:11 AM ::1 GET /logo.png
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:11 AM ::1 Returned 304 in 1 ms
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/chunks/webpack-90f10984f768153b.js
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/chunks/a5e77c88-05bbcf6a40d5e8b9.js
 HTTP  8/15/2026 11:47:11 AM ::1 GET /_next/static/chunks/152-72a1e100ab7100a1.js
